Nome do algoritmo,Elementos,Médio,Melhor,Pior
Bubblesort,1000,900.200,0.000,2000.000
Bubblesort,5000,21404.900,0.000,28006.000
Bubblesort,10000,86430.100,0.000,114025.000
Bubblesort,20000,404494.000,0.000,458063.000
Bubblesort,50000,3754056.800,0.000,3433037.000
Bubblesort,100000,17513968.900,0.000,13782578.000
InsertionSort,1000,200.300,0.000,0.000
InsertionSort,5000,7509.600,0.000,16061.000
InsertionSort,10000,30157.500,0.000,64015.000
InsertionSort,20000,128003.600,0.000,258058.000
InsertionSort,50000,808156.000,0.000,1693042.000
InsertionSort,100000,3218455.000,0.000,6528450.000
SelectionSort,1000,600.400,0.000,1000.000
SelectionSort,5000,12303.000,12005.000,13003.000
SelectionSort,10000,49411.200,49011.000,50011.000
SelectionSort,20000,199198.400,196043.000,198266.000
SelectionSort,50000,1220148.000,1212444.000,1241281.000
SelectionSort,100000,4963399.900,4901825.000,5027081.000
ShellSort,1000,0.000,0.000,0.000
ShellSort,5000,500.200,0.000,0.000
ShellSort,10000,1000.200,0.000,0.000
ShellSort,20000,1999.100,1000.000,1001.000
ShellSort,50000,4900.000,1000.000,2001.000
ShellSort,100000,10702.500,3000.000,5002.000
MergeSort,1000,100.300,0.000,0.000
MergeSort,5000,667.000,0.000,1001.000
MergeSort,10000,1300.500,1000.000,1001.000
MergeSort,20000,2300.400,2001.000,2000.000
MergeSort,50000,6501.200,5001.000,4001.000
MergeSort,100000,13702.900,10002.000,10002.000
QuickSort,1000,101.400,0.000,0.000
QuickSort,5000,401.200,0.000,0.000
QuickSort,10000,800.200,0.000,0.000
QuickSort,20000,2600.700,1000.000,0.000
QuickSort,50000,12103.300,1011.000,1000.000
QuickSort,100000,44018.100,2001.000,2009.000
HeapSort,1000,91.400,0.000,0.000
HeapSort,5000,400.500,1003.000,0.000
HeapSort,10000,1000.100,1001.000,1001.000
HeapSort,20000,2399.500,2000.000,2001.000
HeapSort,50000,6801.200,5002.000,5001.000
HeapSort,100000,13403.300,11001.000,10003.000
RadixSort,1000,74.500,0.000,0.000
RadixSort,5000,200.100,1000.000,0.000
RadixSort,10000,500.300,1000.000,1000.000
RadixSort,20000,1000.500,3000.000,2000.000
RadixSort,50000,2300.400,6003.000,6001.000
RadixSort,100000,4500.900,12005.000,14004.000
CoutingSort,1000,0.000,0.000,0.000
CoutingSort,5000,0.000,0.000,0.000
CoutingSort,10000,100.100,0.000,1000.000
CoutingSort,20000,295.400,0.000,0.000
CoutingSort,50000,499.500,1000.000,0.000
CoutingSort,100000,800.200,1001.000,999.000
TimSort,1000,92.500,0.000,0.000
TimSort,5000,100.300,0.000,0.000
TimSort,10000,600.200,1001.000,0.000
TimSort,20000,1496.300,1000.000,1000.000
TimSort,50000,3800.900,2000.000,3000.000
TimSort,100000,7374.100,3000.000,8002.000
